#站点名,域名,类型
麦乐购,gou.com,电商
京东,jd.com,电商
顺丰优选,sfbest.com,电商
苏宁,suning.com,电商
沱沱工社,tootoo.cn,电商
中粮我买网,gz.womai.com,电商
天猫,tmall.com,电商
云猴,yunhou.com,电商
贝贝网,beibei.com,电商
本来生活网,benlai.com,电商
飞牛,feiniu.com,电商
淘宝网,taobao.com,电商
当当网,dangdang.com,电商
聚美优品,jumei.com,电商
蜜芽网,mia.com,电商
沃尔玛,www.walmart.com,电商
亚马逊,www.amazon.com,电商
国美,gome.com.cn,电商
优酷,youku.com,视频
土豆,tudou.com,视频
腾讯视频,v.qq.com,视频
乐视网,le.com,视频
芒果TV,mgtv.com,视频
酷6,ku6.com,视频
哔哩哔哩,bilibili.com,视频
PPTV,pptv.com,视频
爱奇艺,iqiyi.com,视频
视频·中青在线,v.cyol.com,视频
视频直播_证券之星,video.stockstar.com,视频